"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__EXTCOPY","1403:11a6","Function","Global","Analysis","3","0"
"OvrExtEmsSwapStub","1403:1253","Function","Global","User Defined","1","0"
"OvrEmsExitStub","1403:1254","Function","Global","User Defined","1","0"
"ExitStart","17f8:09ae","Data Label","Global","User Defined","0","0"
"ExitEnd","17f8:09b4","Data Label","Global","User Defined","0","0"
"__OVRGROUP","225d:0000","Data Label","Global","User Defined","0","0"
"_OVRDATA_","225d:0000","Data Label","Global","User Defined","6","0"
"__OVRTRAPHANDLER","225d:0002","Data Label","Global","User Defined","1","1"
"__OVRFILENAME","225d:0006","Data Label","Global","User Defined","3","0"
"__OVRVDISK","225d:0020","Data Label","Global","User Defined","1","0"
"__EmsPageFrame","225d:0030","Data Label","Global","User Defined","0","0"
"__EmsHandle","225d:0032","Data Label","Global","User Defined","0","0"
"__EmsFirstPage","225d:0034","Data Label","Global","User Defined","0","0"
"__EmsPages","225d:0036","Data Label","Global","User Defined","0","0"
"__EmsChecked","225d:0038","Data Label","Global","User Defined","0","0"
"__EmsVersion","225d:0039","Data Label","Global","User Defined","0","0"
"__ExtStartAddress","225d:003a","Data Label","Global","User Defined","0","0"
"__ExtEndAddress","225d:003e","Data Label","Global","User Defined","0","0"
"__ExtChecked","225d:0042","Data Label","Global","User Defined","0","0"
"__XmsControl","225d:0043","Data Label","Global","User Defined","0","0"
"__XmsHandle","225d:0047","Data Label","Global","User Defined","0","0"
"__XmsBase","225d:0049","Data Label","Global","User Defined","0","0"
"__XMSGDT","225d:004d","Data Label","Global","User Defined","0","0"
"__EXTGDT","225d:004d","Data Label","Global","User Defined","0","0"
"__CALLEXTEMSSWAP","225d:0080","Data Label","Global","User Defined","1","0"
"__CALLEXTEXIT","225d:0082","Data Label","Global","User Defined","1","0"
"__CALLEMSEXIT","225d:0084","Data Label","Global","User Defined","1","0"
"__OVRHOOK__","225d:0086","Data Label","Global","User Defined","2","0"
"__OVRBACKLINK__","225d:008a","Data Label","Global","User Defined","0","0"
"__OvrExepathBuf","225d:008c","Data Label","Global","User Defined","7","0"
"_OVR_STUB_","226e:0000","Data Label","Global","User Defined","1","1"
"__OVRTRAP__","226e:0000","Data Label","Global","User Defined","3","1"
"__OvrFileBase","226e:0004","Data Label","Global","User Defined","2","1"
"__OvrRetrySize","226e:0008","Data Label","Global","User Defined","2","0"
"__OvrMinHeapSize","226e:000a","Data Label","Global","User Defined","3","0"
"__OvrTrapCount","226e:000c","Data Label","Global","User Defined","1","0"
"__OvrProbation","226e:000e","Data Label","Global","User Defined","0","0"
"__OvrHeapPtr","226e:0010","Data Label","Global","User Defined","10","0"
"__OvrCodeList","226e:0012","Data Label","Global","User Defined","3","0"
"__OvrHeapOrg","226e:0014","Data Label","Global","User Defined","5","0"
"__OvrHeapEnd","226e:0016","Data Label","Global","User Defined","5","0"
"__OvrDosHandle","226e:0018","Data Label","Global","User Defined","8","0"
"__OvrLoadCount","226e:001a","Data Label","Global","User Defined","1","0"
"__OvrLoadList","226e:001c","Data Label","Global","User Defined","11","0"
"__EmsRec","2270:0000","Data Label","Global","User Defined","0","0"
"__ExtRec","2271:0000","Data Label","Global","User Defined","0","0"
"__FakeVdisk","2272:0000","Data Label","Global","User Defined","0","0"
"_BootHandlerCode","2272:002f","Data Label","Global","User Defined","2","0"
"__BootHandler","2272:003f","Function","Global","User Defined","0","0"
"__SEGTABLE__","2277:0000","Data Label","Global","User Defined","3","2"
"_OVRDATA_","2277:0000","Data Label","Global","User Defined","1","2"
